<Header>
User name: 
Location: 
Model: 1.109
Serial No.: 9G100048
Firmware revision: 12.30E
Software revision: 5-1 Rev IV (12-04-2017)
Unit: ug/m3
C-factor: 1.00
Comment: 
online data
<Data>
[d&t12/31/2035 11:50:55 AM]	PM10 [ug/m3]	PM2.5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
2/12/2019 4:25:58 AM	8.9	8.9	8.4	8.9	8.9	8.9
2/12/2019 4:26:04 AM	8.5	8.5	8.3	8.5	8.5	8.5
2/12/2019 4:26:10 AM	8.8	8.8	8.4	8.8	8.8	8.7
2/12/2019 4:26:16 AM	9.4	9.1	8.3	9.4	9.4	9.2
2/12/2019 4:26:22 AM	8.4	8.4	8.4	8.4	8.4	8.4
2/12/2019 4:26:28 AM	8.3	8.3	8.3	8.3	8.3	8.3
2/12/2019 4:26:34 AM	10.5	8.7	8.3	10.5	10.5	9.2
2/12/2019 4:26:40 AM	9.6	8.8	8.4	9.6	9.6	9.2
2/12/2019 4:26:46 AM	8.7	8.7	8.1	8.7	8.7	8.7
2/12/2019 4:26:52 AM	10.5	9.4	8.1	10.5	10.5	9.9
2/12/2019 4:26:58 AM	9.7	9.6	8.7	9.7	9.7	9.6
2/12/2019 4:27:04 AM	8.4	8.4	8.4	8.4	8.4	8.4
2/12/2019 4:27:10 AM	8.2	8.2	8.2	8.2	8.2	8.2
2/12/2019 4:27:16 AM	8.5	8.3	7.8	8.5	8.5	8.4
2/12/2019 4:27:22 AM	9.2	9.0	7.9	9.2	9.2	9.1
2/12/2019 4:27:28 AM	14.7	9.6	8.1	14.7	13.9	10.1
2/12/2019 4:27:34 AM	8.4	8.4	8.0	8.4	8.4	8.4
2/12/2019 4:27:40 AM	8.0	8.0	8.0	8.0	8.0	8.0
2/12/2019 4:27:46 AM	13.7	9.4	8.3	13.7	13.4	10.3
2/12/2019 4:27:52 AM	9.7	8.8	8.4	9.7	9.7	9.2
2/12/2019 4:27:58 AM	8.2	8.2	7.9	8.2	8.2	8.2
2/12/2019 4:28:04 AM	9.5	8.7	8.3	9.5	9.5	9.0
2/12/2019 4:28:10 AM	16.5	8.8	8.2	21.5	15.7	9.0
2/12/2019 4:28:16 AM	10.8	9.3	8.1	10.8	10.8	10.0
2/12/2019 4:28:22 AM	8.5	8.5	8.5	8.5	8.5	8.5
2/12/2019 4:28:28 AM	13.9	9.2	8.1	13.9	13.1	9.5
2/12/2019 4:28:34 AM	9.1	9.0	8.4	9.1	9.1	9.1
2/12/2019 4:28:40 AM	9.4	9.2	8.3	9.4	9.4	9.3
2/12/2019 4:28:46 AM	14.5	8.3	7.9	14.5	13.7	9.3
2/12/2019 4:28:52 AM	11.6	10.0	8.6	11.6	11.6	10.7
2/12/2019 4:28:58 AM	9.0	8.9	8.4	9.0	9.0	9.0
2/12/2019 4:29:04 AM	9.1	8.9	8.3	9.1	9.1	9.0
2/12/2019 4:29:10 AM	9.7	8.8	8.0	9.7	9.7	9.2
2/12/2019 4:29:16 AM	8.4	8.4	8.2	8.4	8.4	8.4
2/12/2019 4:29:22 AM	18.3	9.0	8.4	18.3	16.7	9.7
2/12/2019 4:29:28 AM	8.2	8.2	7.9	8.2	8.2	8.2
2/12/2019 4:29:34 AM	8.8	8.8	8.6	8.8	8.8	8.8
2/12/2019 4:29:40 AM	18.6	9.8	8.5	18.9	16.9	10.9
2/12/2019 4:29:46 AM	8.5	8.5	8.1	8.5	8.5	8.5
2/12/2019 4:29:52 AM	8.4	8.4	8.1	8.4	8.4	8.4
2/12/2019 4:29:58 AM	7.8	7.8	7.7	7.8	7.8	7.8
2/12/2019 4:30:04 AM	9.7	9.2	8.5	9.7	9.7	9.5
2/12/2019 4:30:10 AM	8.9	8.9	8.5	8.9	8.9	8.9
2/12/2019 4:30:16 AM	8.3	8.3	8.2	8.3	8.3	8.3
2/12/2019 4:30:22 AM	9.5	9.3	8.4	9.5	9.5	9.4
2/12/2019 4:30:28 AM	11.3	8.5	8.1	11.3	11.3	9.4
2/12/2019 4:30:34 AM	8.3	8.3	8.1	8.3	8.3	8.3
2/12/2019 4:30:40 AM	13.0	9.1	8.4	13.0	12.6	9.8
2/12/2019 4:30:46 AM	8.7	8.7	8.4	8.7	8.7	8.7
2/12/2019 4:30:52 AM	13.9	8.9	8.3	13.9	13.1	9.4
2/12/2019 4:30:58 AM	8.6	8.6	8.5	8.6	8.6	8.6
2/12/2019 4:31:04 AM	10.1	9.0	8.5	10.1	10.1	9.5
2/12/2019 4:31:10 AM	8.0	8.0	8.0	8.0	8.0	8.0
2/12/2019 4:31:16 AM	11.5	10.5	8.4	11.5	11.5	10.9
2/12/2019 4:31:22 AM	9.0	8.8	8.2	9.0	9.0	8.9
2/12/2019 4:31:28 AM	11.3	9.4	8.5	11.3	11.3	10.2
2/12/2019 4:31:34 AM	8.2	8.2	8.1	8.2	8.2	8.2
2/12/2019 4:31:40 AM	10.4	9.7	8.6	10.4	10.4	10.1
2/12/2019 4:31:46 AM	8.9	8.9	8.3	8.9	8.9	8.9
2/12/2019 4:31:52 AM	8.8	8.8	8.6	8.8	8.8	8.8
2/12/2019 4:31:58 AM	10.0	9.0	8.0	10.0	10.0	9.4
2/12/2019 4:32:04 AM	9.2	9.1	8.3	9.2	9.2	9.1
2/12/2019 4:32:10 AM	8.7	8.7	8.5	8.7	8.7	8.7
2/12/2019 4:32:16 AM	8.6	8.6	8.3	8.6	8.6	8.5
2/12/2019 4:32:22 AM	8.3	8.3	8.3	8.3	8.3	8.3
2/12/2019 4:32:28 AM	8.8	8.4	7.8	8.8	8.8	8.6
2/12/2019 4:32:34 AM	8.9	8.9	8.5	8.9	8.9	8.9
2/12/2019 4:32:40 AM	8.7	8.7	8.2	8.7	8.7	8.7
2/12/2019 4:32:46 AM	16.3	9.3	8.0	16.6	14.6	9.7
2/12/2019 4:32:52 AM	11.0	8.5	8.3	11.0	10.9	9.3
2/12/2019 4:32:58 AM	10.3	9.6	8.1	10.3	10.3	9.9
2/12/2019 4:33:04 AM	8.0	8.0	7.8	8.0	8.0	8.0
2/12/2019 4:33:10 AM	8.0	8.0	7.9	8.0	8.0	8.0
2/12/2019 4:33:16 AM	10.1	8.2	7.8	10.1	10.0	9.0
2/12/2019 4:33:22 AM	8.2	8.2	8.2	8.2	8.2	8.2
2/12/2019 4:33:28 AM	14.0	8.8	7.7	14.0	13.6	9.7
2/12/2019 4:33:34 AM	8.2	8.2	8.2	8.2	8.2	8.2
2/12/2019 4:33:40 AM	8.0	8.0	8.0	8.0	8.0	8.0
2/12/2019 4:33:46 AM	8.3	8.3	8.3	8.3	8.3	8.3
2/12/2019 4:33:52 AM	8.7	8.5	7.8	8.7	8.7	8.6
2/12/2019 4:33:58 AM	9.5	9.3	7.9	9.5	9.5	9.4
2/12/2019 4:34:04 AM	8.0	8.0	7.6	8.0	8.0	8.0
2/12/2019 4:34:10 AM	9.0	9.0	8.9	9.0	9.0	9.0
2/12/2019 4:34:16 AM	14.7	9.1	8.1	14.7	14.3	10.6
2/12/2019 4:34:22 AM	8.3	8.3	8.0	8.3	8.3	8.3
2/12/2019 4:34:28 AM	8.8	8.7	8.0	8.8	8.8	8.7
2/12/2019 4:34:34 AM	8.0	8.0	7.9	8.0	8.0	8.0
2/12/2019 4:34:40 AM	8.0	8.0	7.8	8.0	8.0	8.0
2/12/2019 4:34:46 AM	12.8	9.3	8.1	12.8	12.5	9.9
2/12/2019 4:34:52 AM	8.4	8.4	8.3	8.4	8.4	8.4
2/12/2019 4:34:58 AM	13.3	8.8	8.0	13.3	12.5	9.1
2/12/2019 4:35:04 AM	8.1	8.1	8.1	8.1	8.1	8.1
2/12/2019 4:35:10 AM	8.1	8.1	8.1	8.1	8.1	8.1
2/12/2019 4:35:16 AM	10.8	9.0	8.3	10.8	10.8	9.5
2/12/2019 4:35:22 AM	8.2	8.2	7.9	8.2	8.2	8.2
2/12/2019 4:35:28 AM	15.2	10.0	8.5	15.2	14.8	10.9
