Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
04/06/2019,10.2,10.4,13.4,13.1,18.8,20.1,20.7,20.7,15.7,6.9,2.4,2.1,3.2,2.6,0.9,4.8,5.3,6.7,6.5,8.5,5.9,5.5,5.1,5.3
04/07/2019,5.2,5.0,6.2,7.9,9.0,8.4,7.7,7.6,10.3,11.5,7.7,8.3,10.5,11.0,9.5,9.7,11.9,14.2,12.9,10.8,7.4,7.5,8.2,8.4
04/08/2019,6.0,6.4,6.5,6.7,7.0,11.2,9.6,12.8,10.6,10.9,12.1,11.6,13.9,15.6,15.9,13.9,10.3,12.8,11.6,13.7,17.7,15.8,13.6,14.2
04/09/2019,14.0,15.4,16.9,13.3,13.1,11.5,14.8,35.2,13.0,9.9,7.1,4.6,7.1,6.8,6.9,7.6,9.3,11.8,11.4,12.0,13.3,10.0,7.7,8.3
04/10/2019,9.3,8.9,9.6,9.4,10.4,9.4,8.4,8.0,5.3,5.1,6.2,5.1,5.3,7.1,9.3,9.8,10.7,AQI,AQI,11.3,10.0,8.6,7.9,14.6
04/11/2019,13.6,6.6,7.6,8.5,9.0,6.2,4.6,5.3,12.5,11.3,6.8,2.7,2.0,2.5,1.7,2.2,3.2,2.7,3.2,4.9,5.9,5.2,5.0,5.3
04/12/2019,6.0,8.3,5.6,7.0,7.4,10.8,10.8,9.8,3.3,3.9,3.3,2.7,3.5,3.5,5.0,4.9,6.2,6.7,7.0,9.5,10.2,8.6,6.1,5.6
04/13/2019,6.9,5.8,5.9,5.7,14.8,11.7,9.9,5.8,2.3,1.9,6.6,1.9,2.4,1.5,1.8,3.1,3.3,2.8,4.4,2.7,3.3,2.8,4.1,4.7
04/14/2019,6.7,9.3,13.6,20.7,29.6,22.6,11.0,4.8,6.3,5.7,3.8,2.5,2.8,3.3,2.7,2.7,3.4,5.0,5.3,7.2,9.6,7.8,5.9,6.2
04/15/2019,5.8,4.8,4.2,6.2,7.0,7.6,9.1,7.6,5.3,5.2,5.8,4.3,5.1,5.7,4.2,5.9,7.6,6.2,7.2,8.9,9.0,8.2,6.7,5.2
04/16/2019,7.8,7.0,6.9,6.0,5.8,6.6,7.5,6.3,4.7,6.3,5.6,5.9,6.1,6.3,6.5,6.9,7.6,8.7,7.0,7.8,7.0,8.0,5.8,5.5
04/17/2019,5.4,5.8,6.4,7.1,7.9,9.3,9.4,10.5,12.1,6.4,4.4,7.6,10.0,10.0,13.9,13.9,17.1,21.5,20.7,15.7,16.0,13.9,7.3,10.4
04/18/2019,4.2,6.1,6.9,8.1,8.1,17.8,16.3,11.6,8.9,6.5,4.4,2.2,0.4,1.8,1.5,3.0,3.9,3.7,3.8,7.2,9.0,4.4,3.9,2.8
04/19/2019,2.3,1.1,0.8,2.6,3.6,3.7,4.5,3.1,3.6,3.6,1.6,1.5,1.4,1.1,1.0,1.2,1.3,1.8,3.5,5.4,7.8,10.5,13.0,8.3
04/20/2019,9.1,8.0,11.0,8.4,10.4,10.6,9.2,6.9,3.8,2.0,2.3,3.1,4.6,4.2,3.5,2.4,4.1,4.6,7.2,6.9,8.0,7.4,6.9,6.4
04/21/2019,5.8,5.7,7.6,7.0,6.8,6.3,6.2,5.5,3.9,5.5,5.6,7.0,5.8,6.0,6.1,7.0,6.3,5.6,6.1,6.4,4.6,5.0,5.3,5.0
04/22/2019,5.1,5.7,5.7,5.6,5.6,6.0,7.9,7.2,6.0,5.9,6.6,6.3,5.9,6.1,6.1,6.6,8.5,7.6,8.5,9.0,9.0,8.9,10.0,8.7
04/23/2019,8.5,8.9,7.3,7.5,6.6,7.6,10.1,9.4,10.1,9.5,9.4,9.0,10.4,14.2,12.8,14.8,18.0,20.6,22.7,19.0,12.9,2.1,4.1,3.5
04/24/2019,0.7,4.3,1.5,3.4,0.0,7.3,4.2,2.8,5.0,2.0,9.9,0.4,3.0,7.2,4.1,6.0,9.4,5.6,8.2,5.8,6.5,5.7,2.8,3.3
04/25/2019,4.1,1.9,3.4,3.1,4.4,7.4,11.0,9.7,9.9,5.4,5.8,7.0,3.2,4.9,1.4,3.5,5.3,7.2,7.7,11.7,14.8,9.8,8.5,9.1
04/26/2019,7.4,6.2,5.1,6.5,5.4,6.8,12.1,11.0,5.1,5.8,6.6,4.2,5.0,5.1,4.3,5.0,6.1,6.2,6.6,7.0,9.3,8.9,8.4,8.3
04/27/2019,7.2,6.6,6.7,8.0,8.6,7.8,9.7,9.5,7.4,8.1,9.8,8.8,11.5,8.0,7.3,8.4,8.6,11.6,13.4,12.7,15.7,13.3,10.2,2.6
04/28/2019,9.2,10.3,12.4,12.7,12.0,10.2,13.3,6.3,6.1,8.6,8.1,7.7,8.7,9.0,5.5,5.8,6.4,5.0,6.5,8.0,8.2,8.0,7.3,7.6
04/29/2019,6.1,5.5,4.8,5.2,5.7,7.1,10.8,8.5,9.8,9.4,12.1,11.4,10.3,8.6,8.5,9.6,10.9,12.0,12.4,13.8,14.8,17.0,16.4,17.3
04/30/2019,16.5,16.7,16.3,17.8,17.2,17.1,16.0,16.2,15.6,17.1,21.3,16.3,10.9,11.7,9.2,10.7,11.1,14.9,7.9,14.7,16.0,16.1,16.5,17.0
05/01/2019,15.5,16.2,15.8,16.6,18.1,18.6,19.1,18.7,16.8,QAS,QAS,15.7,13.0,11.1,12.0,12.1,12.0,14.5,14.5,9.2,3.7,5.2,5.1,2.4
