Title: autostart_1
Comment: 

Start at: 4/8/2019 - 8:00:36 PM
Duration: 25:02:20
Moving Average: 120 s
Mean PM tot.: NaN
Operator: User

Limits: 
no limits set

Comments: 
no comments available

Notifications: 
no notifications recorded

timestamp	PM 1	PM 2.5	PM 4	PM 10	PM tot.	dCn	Latitude	Longitude	timestamp	temperature [°C]	rel. humidity [%]	ambient pressure [hPa]
4/8/2019 - 8:18:16 PM	7.17	8.28	9.48	14.58	29.45	233.78	-1.000000	-1.000000	4/8/2019 - 8:09:27 PM	30.65	32.87	988.16
4/8/2019 - 8:18:26 PM	7.18	8.32	9.55	14.85	29.71	233.73	-1.000000	-1.000000	4/8/2019 - 8:09:32 PM	30.64	32.85	988.03
4/8/2019 - 8:18:36 PM	7.17	8.30	9.52	14.77	29.50	233.42	-1.000000	-1.000000	4/8/2019 - 8:09:37 PM	30.64	32.86	988.03
4/8/2019 - 8:18:46 PM	7.17	8.29	9.51	14.72	29.31	233.52	-1.000000	-1.000000	4/8/2019 - 8:09:42 PM	30.63	32.94	988.03
4/8/2019 - 8:18:56 PM	7.16	8.29	9.54	14.70	29.17	233.45	-1.000000	-1.000000	4/8/2019 - 8:09:47 PM	30.62	32.96	987.91
4/8/2019 - 8:19:06 PM	7.16	8.28	9.53	14.64	28.97	233.27	-1.000000	-1.000000	4/8/2019 - 8:09:52 PM	30.62	32.51	987.91
4/8/2019 - 8:19:16 PM	7.16	8.27	9.50	14.57	28.78	233.12	-1.000000	-1.000000	4/8/2019 - 8:09:57 PM	30.59	32.57	988.03
4/8/2019 - 8:19:26 PM	7.15	8.27	9.50	14.52	28.60	232.96	-1.000000	-1.000000	4/8/2019 - 8:10:02 PM	30.57	32.44	987.91
4/8/2019 - 8:19:36 PM	7.15	8.25	9.47	14.45	28.41	232.86	-1.000000	-1.000000	4/8/2019 - 8:10:07 PM	30.56	32.46	988.03
4/8/2019 - 8:19:46 PM	7.14	8.26	9.45	14.85	31.86	232.62	-1.000000	-1.000000	4/8/2019 - 8:10:12 PM	30.57	32.60	988.03
4/8/2019 - 8:19:56 PM	7.13	8.24	9.43	14.78	31.64	232.42	-1.000000	-1.000000	4/8/2019 - 8:10:17 PM	30.56	32.62	988.03
4/8/2019 - 8:20:06 PM	7.12	8.23	9.42	14.72	31.44	232.34	-1.000000	-1.000000	4/8/2019 - 8:10:22 PM	30.54	32.68	988.16
4/8/2019 - 8:20:16 PM	7.12	8.23	9.41	14.67	31.25	232.22	-1.000000	-1.000000	4/8/2019 - 8:10:27 PM	30.56	32.64	988.16
4/8/2019 - 8:20:26 PM	7.12	8.23	9.41	14.63	31.07	231.89	-1.000000	-1.000000	4/8/2019 - 8:10:32 PM	30.57	32.63	988.40
4/8/2019 - 8:20:37 PM	6.98	8.08	9.25	14.47	30.91	229.42	-1.000000	-1.000000	4/8/2019 - 8:10:37 PM	30.56	32.67	988.28
4/8/2019 - 8:20:47 PM	6.94	8.03	9.21	14.42	30.87	228.82	-1.000000	-1.000000	4/8/2019 - 8:10:42 PM	30.58	32.64	988.16
4/8/2019 - 8:20:57 PM	6.92	7.98	9.13	14.35	30.79	228.04	-1.000000	-1.000000	4/8/2019 - 8:10:47 PM	30.60	32.69	988.16
4/8/2019 - 8:21:07 PM	6.89	7.91	9.11	13.50	29.32	227.19	-1.000000	-1.000000	4/8/2019 - 8:10:52 PM	30.62	32.65	988.16
4/8/2019 - 8:21:17 PM	6.87	7.87	9.07	13.45	29.28	226.41	-1.000000	-1.000000	4/8/2019 - 8:10:57 PM	30.63	33.64	988.16
4/8/2019 - 8:21:27 PM	6.85	7.83	9.05	12.98	25.71	225.59	-1.000000	-1.000000	4/8/2019 - 8:11:02 PM	30.65	33.61	988.16
4/8/2019 - 8:21:37 PM	6.82	7.83	9.11	13.13	25.90	224.99	-1.000000	-1.000000	4/8/2019 - 8:11:07 PM	30.70	33.08	988.16
4/8/2019 - 8:21:47 PM	6.81	7.82	9.10	13.12	25.89	224.53	-1.000000	-1.000000	4/8/2019 - 8:11:11 PM	30.68	33.11	988.16
4/8/2019 - 8:21:57 PM	6.80	7.80	9.08	13.09	25.87	224.36	-1.000000	-1.000000	4/8/2019 - 8:11:16 PM	30.66	33.45	988.03
4/8/2019 - 8:22:07 PM	6.79	7.79	9.07	13.09	25.87	223.58	-1.000000	-1.000000	4/8/2019 - 8:11:21 PM	30.68	33.41	988.16
4/8/2019 - 8:22:17 PM	6.76	7.74	8.96	12.95	25.71	222.90	-1.000000	-1.000000	4/8/2019 - 8:11:27 PM	30.74	33.51	988.16
4/8/2019 - 8:22:27 PM	6.74	7.68	8.84	12.81	25.55	222.20	-1.000000	-1.000000	4/8/2019 - 8:11:31 PM	30.77	33.46	988.03
4/8/2019 - 8:22:37 PM	6.72	7.63	8.73	12.68	25.40	221.56	-1.000000	-1.000000	4/8/2019 - 8:11:36 PM	30.77	32.85	988.03
4/8/2019 - 8:22:47 PM	6.70	7.58	8.61	12.55	25.25	220.88	-1.000000	-1.000000	4/8/2019 - 8:11:41 PM	30.82	32.75	988.16
4/8/2019 - 8:22:57 PM	6.68	7.56	8.57	12.50	25.19	220.41	-1.000000	-1.000000	4/8/2019 - 8:11:46 PM	30.87	32.19	988.03
4/8/2019 - 8:23:07 PM	6.67	7.54	8.54	12.47	25.16	219.88	-1.000000	-1.000000	4/8/2019 - 8:11:51 PM	30.94	32.07	988.03
4/8/2019 - 8:23:17 PM	6.65	7.51	8.49	12.42	25.10	219.31	-1.000000	-1.000000	4/8/2019 - 8:11:56 PM	30.99	32.03	988.03
4/8/2019 - 8:23:27 PM	6.63	7.48	8.44	12.36	25.04	218.70	-1.000000	-1.000000	4/8/2019 - 8:12:01 PM	31.02	31.96	988.03
4/8/2019 - 8:23:37 PM	6.64	7.45	8.35	12.20	24.84	218.55	-1.000000	-1.000000	4/8/2019 - 8:12:06 PM	31.11	31.24	988.03
4/8/2019 - 8:23:46 PM	6.62	7.46	8.41	12.32	24.99	217.71	-1.000000	-1.000000	4/8/2019 - 8:12:11 PM	31.16	31.14	988.03
4/8/2019 - 8:23:56 PM	6.59	7.41	8.35	12.26	24.94	217.00	-1.000000	-1.000000	4/8/2019 - 8:12:16 PM	31.15	31.32	988.03
4/8/2019 - 8:24:06 PM	6.57	7.39	8.33	12.24	24.92	216.18	-1.000000	-1.000000	4/8/2019 - 8:12:21 PM	31.18	31.27	988.16
4/8/2019 - 8:24:16 PM	6.54	7.37	8.30	12.21	24.89	215.38	-1.000000	-1.000000	4/8/2019 - 8:12:26 PM	31.24	31.30	988.16
4/8/2019 - 8:24:26 PM	6.52	7.34	8.28	12.18	24.86	214.52	-1.000000	-1.000000	4/8/2019 - 8:12:31 PM	31.37	31.09	988.16
4/8/2019 - 8:24:36 PM	6.50	7.32	8.26	12.17	24.84	213.93	-1.000000	-1.000000	4/8/2019 - 8:12:36 PM	31.42	31.24	988.16
4/8/2019 - 8:24:46 PM	6.49	7.29	8.17	12.07	24.73	213.20	-1.000000	-1.000000	4/8/2019 - 8:12:41 PM	31.50	31.11	988.16
4/8/2019 - 8:24:56 PM	6.48	7.31	8.23	12.30	25.05	212.63	-1.000000	-1.000000	4/8/2019 - 8:12:46 PM	31.57	30.66	988.16
4/8/2019 - 8:25:06 PM	6.46	7.24	8.06	11.85	24.45	211.93	-1.000000	-1.000000	4/8/2019 - 8:12:51 PM	31.68	30.48	988.16
4/8/2019 - 8:25:16 PM	6.43	7.24	8.14	11.95	24.57	211.02	-1.000000	-1.000000	4/8/2019 - 8:12:56 PM	31.74	30.10	988.16
4/8/2019 - 8:25:26 PM	6.41	7.22	8.13	11.94	24.57	210.36	-1.000000	-1.000000	4/8/2019 - 8:13:01 PM	31.81	29.98	988.28
4/8/2019 - 8:25:36 PM	6.39	7.23	8.13	12.30	25.13	209.99	-1.000000	-1.000000	4/8/2019 - 8:13:06 PM	31.89	29.61	988.16
4/8/2019 - 8:25:46 PM	6.38	7.21	8.11	12.29	25.11	209.57	-1.000000	-1.000000	4/8/2019 - 8:13:11 PM	32.01	29.44	988.16
4/8/2019 - 8:25:56 PM	6.37	7.15	8.11	11.23	22.72	209.14	-1.000000	-1.000000	4/8/2019 - 8:13:16 PM	32.05	29.44	988.16
4/8/2019 - 8:26:06 PM	6.35	7.13	8.08	11.20	22.70	208.73	-1.000000	-1.000000	4/8/2019 - 8:13:21 PM	32.17	29.25	988.16
4/8/2019 - 8:26:16 PM	6.34	7.10	7.99	11.10	22.58	208.44	-1.000000	-1.000000	4/8/2019 - 8:13:27 PM	32.29	29.27	988.16
4/8/2019 - 8:26:27 PM	6.32	7.11	8.07	11.23	22.74	207.86	-1.000000	-1.000000	4/8/2019 - 8:13:31 PM	32.36	29.15	988.16
4/8/2019 - 8:26:37 PM	6.30	7.08	8.03	11.19	22.70	207.35	-1.000000	-1.000000	4/8/2019 - 8:13:37 PM	32.44	28.77	988.16
